role,tableQ,label,axisCount,lineItemCount,axes
[400200a] Disclosures - Auditors report,in-ca:DetailsRegardingAuditorsTable,Details regarding auditors [Table],1,10,['in-ca:AuditorsAxis']
[400300] Disclosures - Signatories of financial statements,in-ca:DetailsOfDirectorsSigningFinancialStatementsTable,Details of directors signing financial statements [Table],1,7,['in-ca:DirectorsSigningFinancialStatementsAxis']
[400300a] Disclosures - Signatories of financial statements,in-ca:DetailsOfManagerSigningFinancialStatementsTable,Details of manager signing financial statements [Table],1,6,['in-ca:ManagerSigningFinancialStatementsAxis']
[400400] Disclosures - Directors report,in-ca:DetailsOfContractsArrangementsTransactionsNotAtArmsLengthBasisTable,Details of contracts/arrangements/transactions not at arm's length basis [Table],1,7,['in-ca:ContractsArrangementsTransactionsNotAtArmsLengthBasisAxis']
[400400a] Disclosures - Directors report,in-ca:DetailsOfMaterialContractsArrangementsTransactionsAtArmsLengthBasisTable,Details of material contracts/arrangements/transactions at arm's length basis [Table],1,7,['in-ca:MaterialContractsArrangementsTransactionsAtArmsLengthBasisAxis']
[400400b] Disclosures - Directors report,in-ca:DetailsOfPrincipalBusinessActivitiesContributing10PercentOrMoreOfTotalTurnoverOfCompanyTable,Details of principal business activities contributing 10% or more of total turnover of company [Table],1,4,['in-ca:PrincipalBusinessActivitiesOfCompanyAxis']
[400400c] Disclosures - Directors report,in-ca:ParticularsOfHoldingSubsidiaryAndAssociateCompaniesTable,"Particulars of holding, subsidiary and associate companies [Table]",1,8,['in-ca:ParticularsOfCompaniesAxis']
[400401] Disclosures - Directors report/total,in-ca:ParticularsOfHoldingSubsidiaryAndAssociateCompaniesTable,"Particulars of holding, subsidiary and associate companies [Table]",0,1,[]
[400400e] Disclosures - Directors report,in-ca:DetailsOfShareholdingOfPromotersTable,Details of shareholding of promoters [Table],1,5,['in-ca:PromotersAxis']
[400400f] Disclosures - Directors report,in-ca:DetailsOfChangeInPromotersShareholdingTable,Details of change in promoters’ shareholding [Table],2,6,"['in-ca:PromotersAxis', 'in-ca:ChangeInShareholdingAxis']"
[400400g] Disclosures - Directors report,in-ca:DetailsOfShareholdingPatternOfTop10ShareholdersTable,Details of shareholding pattern of top 10 shareholders [Table],2,6,"['in-ca:NameOfTop10ShareholderAxis', 'in-ca:ChangeInShareholdingAxis']"
[400400h] Disclosures - Directors report,in-ca:DetailsOfShareholdingPatternOfDirectorsAndKeyManagerialPersonnelTable,Details of shareholding pattern of directors and key managerial personnel [Table],2,6,"['in-ca:DirectorsAndKeyManagerialPersonnelAxis', 'in-ca:ChangeInShareholdingAxis']"
[400400i] Disclosures - Directors report,in-ca:DetailsOfIndebtednessOfCompanyTable,Details of indebtedness of company [Table],1,8,['in-ca:IndebtednessAxis']
[400400j] Disclosures - Directors report,in-ca:DetailsOfPenaltyPunishmentCompoundingOfOffenceTable,Details of penalty/punishment/compounding of offence [Table],1,12,['in-ca:OffenderAxis']
[400400k] Disclosures - Directors report,in-ca:DetailsRegardingAuditorsQualificationsReservationsAdverseRemarksInAuditorsReportTable,"Details regarding auditors' qualification(s), reservation(s) adverse remark(s) in auditors' report [Table]",1,2,['in-ca:AuditorsQualificationsReservationsAdverseRemarksInAuditorsReportAxis']
[400400l] Disclosures - Directors report,in-ca:DetailsRegardingCompanySecretaryQualificationOrObservationOrOtherRemarksInSecretarialAuditReportTable,Details regarding company secretary qualification or observation or other remarks in secretarial audit report [Table],1,2,['in-ca:CompanySecretaryQualificationOrObservationOrOtherRemarksInSecretarialAuditReportAxis']
[400400m] Disclosures - Directors report,in-ca:DetailsOfManagerialPersonnelsRemunerationTable,Details of managerial personnels remuneration [Table],1,3,['in-ca:ManagerialPersonnelsRemunerationAxis']
[400400n] Disclosures - Directors report,in-gaap:DisclosuresRelatingToEmployeeStockOptionSchemeTable,Disclosures relating to employee stock option scheme [Table],1,30,['in-gaap:CategoriesOfEmployeeStockOptionSchemeAxis']
[400400o] Disclosures - Directors report,in-gaap:DisclosuresRelatingToEmployeeStockPurchaseSchemeTable,Disclosures relating to employee stock purchase scheme [Table],1,8,['in-gaap:CategoriesOfEmployeeStockPurchaseSchemeAxis']
[400400p] Disclosures - Directors report,in-ca:DetailsOfDirectorsSigningBoardReportTable,Details of directors signing board report [Table],1,7,['in-ca:DirectorsSigningBoardReportAxis']
[400500] Disclosures - Secretarial audit report,in-ca:DetailsOfSignatoriesOfSecretarialAuditReportTable,Details of signatories of secretarial audit report [Table],1,9,['in-ca:SignatoriesOfSecretarialAuditReportAxis']
