0,1,2
AmountOfEmployeeStockOptionPlanIssuedDuringPeriod,"Should be greater than or equal to zero. Mandatory if ""NumberOfSharesIssuedUnderEmployeeStockOptionPlan"" is entered and vice a versa",
AmountOfOtherIssueArisingOutOfConversionOfSecuritiesDuringPeriod,Should be greater than or equal to zero. Mandatory if corresponding Number of shares is entered and vice-a-versa.,
AggregateAmountOfIncreaseInShareCapitalDuringPeriod,,
DecreaseInShareCapitalDuringPeriodAbstract,,
DecreaseInAmountOfSharesRedeemed,Should be greater than or equal to zero. Mandatory if corresponding Number of shares is entered and vice-a-versa.,
DecreaseInAmountOfSharesBoughtBack,Should be greater than or equal to zero. Mandatory if corresponding Number of shares is entered and vice-a-versa.,
OtherDecreaseInAmountOfShares,Should be greater than or equal to zero. Mandatory if corresponding Number of shares is entered and vice-a-versa.,
DecreaseInShareCapitalDuringPeriod,Should be greater than or equal to zero. Mandatory if corresponding Number of shares is entered and vice-a-versa.,
IncreaseDecreaseInShareCapital,,
ShareCapital,Summation of 'ShareCapital' (Closing)' for  'EquitySharesMembers 1..10' and 'PreferenceSharesMembers 1...10' should be equal to value entered in 'Sharecapital' in balance sheet. ,
RightsPreferencesAndRestrictionsAttachingToClassOfShareCapital,,
SharesInCompanyHeldByHoldingCompanyOrUltimateHoldingCompanyOrByItsSubsidiariesOrAssociatesAbstract,,
SharesInCompanyHeldByHoldingCompany,Should be greater than or equal to zero,
SharesInCompanyHeldByUltimateHoldingCompany,Should be greater than or equal to zero,
SharesInCompanyHeldBySubsidiariesOfItsHoldingCompany,Should be greater than or equal to zero,
SharesInCompanyHeldBySubsidiariesOfItsUltimateHoldingCompany,Should be greater than or equal to zero,
SharesInCompanyHeldByAssociatesOfItsHoldingCompany,Should be greater than or equal to zero,
SharesInCompanyHeldByAssociatesOfItsUltimateHoldingCompany,Should be greater than or equal to zero,
SharesInCompanyHeldByHoldingCompanyOrUltimateHoldingCompanyOrByItsSubsidiariesOrAssociates,Mandatory in case Yes is selected in element 'WhetherCompanyIsSubsidiaryCompany'. Should be greater than or equal to zero,
SharesReservedForIssueUnderOptionsAndContractsOrCommitmentsForSaleOfSharesOrDisinvestment,Should be greater than or equal to zero,
AmountOfSharesReservedForIssueUnderOptionsAndContractsOrCommitmentsForSaleOfSharesOrDisinvestment,,
DescriptionOfTermsOfSharesReservedForIssueUnderOptionsAndContractsOrCommitmentsForSaleOfSharesOrDisinvestment,,
AggregateNumberOfFullyPaidUpSharesIssuedPursuantToContractsWithoutPaymentBeingReceivedInCashDuringLastFiveYears,Should be greater than or equal to zero,
AggregateNumberOfFullyPaidUpSharesIssuedByWayOfBonusSharesDuringLastFiveYears,Should be greater than or equal to zero,
AggregateNumberOfSharesBoughtBackDuringLastFiveYears,Should be greater than or equal to zero,
OriginalPaidUpValueOfForfeitedShares,,
TermsOfSecuritiesConvertibleIntoEquityPreferenceSharesIssuedAlongWithEarliestDateOfConversionInDescendingOrderStartingFromFarthestSuchDateTextBlock,,
DetailsOfApplicationMoneyReceivedForAllotmentOfSecuritiesAndDueForRefundAndInterestAccruedThereonAbstract,,
ApplicationMoneyReceivedForAllotmentOfSecuritiesAndDueForRefundAndInterestAccruedThereonAbstract,,
ApplicationMoneyReceivedForAllotmentOfSecuritiesAndDueForRefundPrincipal,,
ApplicationMoneyReceivedForAllotmentOfSecuritiesAndDueForRefundInterestAccrued,,
ApplicationMoneyReceivedForAllotmentOfSecuritiesAndDueForRefundAndInterestAccruedThereon,,
TermsAndConditionsOfSharesPendingAllotment,,
NumberOfSharesProposedToBeIssued,Should be greater than or equal to zero,
PeriodBeforeWhichSharesAreToBeAllotted,,
SharePremiumForSharesToBeAllotted,,
DescriptionOfWhetherCompanyHaveSufficientAuthorisedCapitalToCoverProposedShareCapitalAmountResultingFromAllotment,,
OverDuePeriodForWhichApplicationMoneyIsPendingPriorToAllotmentOfShares,,
ReasonForOverDuePeriodForWhichApplicationMoneyIsPendingPriorToAllotmentOfShares,,
RedemptionOfPreferenceSharesExplanatoryTextBlock,,
DisclosureOfShareholdingMoreThanFivePerCentInCompanyAbstract,,
WhetherThereAreAnyShareholdersHoldingMoreThanFivePerCentSharesInCompany,This is a mandatory field,
DisclosureOfShareholdingMoreThanFivePerCentInCompanyTable,This table is mandatory in case 'Yes' is selected in field 'WhetherThereAreAnyShareholdersHoldingMoreThanFivePerCentSharesInCompany'.,
ClassesOfShareCapitalAxis,,
ShareCapitalMember,,
EquitySharesMember,,
EquityShares1Member,,
EquityShares2Member,,
EquityShares3Member,,
EquityShares4Member,,
EquityShares5Member,,
EquityShares6Member,,
EquityShares7Member,,
EquityShares8Member,,
EquityShares9Member,,
EquityShares10Member,,
PreferenceSharesMember,,
PreferenceShares1Member,,
PreferenceShares2Member,,
PreferenceShares3Member,,
PreferenceShares4Member,,
PreferenceShares5Member,,
PreferenceShares6Member,,
PreferenceShares7Member,,
PreferenceShares8Member,,
PreferenceShares9Member,,
PreferenceShares10Member,,
NameOfShareholderAxis,,
NameOfShareholderMember,,
Shareholder1Member,,
Shareholder2Member,,
Shareholder3Member,,
Shareholder4Member,,
Shareholder5Member,,
Shareholder6Member,,
Shareholder7Member,,
Shareholder8Member,,
Shareholder9Member,,
Shareholder10Member,,
Shareholder11Member,,
Shareholder12Member,,
Shareholder13Member,,
Shareholder14Member,,
Shareholder15Member,,
Shareholder16Member,,
Shareholder17Member,,
Shareholder18Member,,
Shareholder19Member,,
Shareholder20Member,,
DisclosureOfShareholdingMoreThanFivePerCentInCompanyLineItems,,
TypeOfShare,,
NameOfShareholder,,
CINOfShareholder,Either CIN of shareholder or PAN of shareholder is Mandatory in case Country of incorporation or residence of shareholder is India. Valid CIN. ,
PANOfShareholder,Should be valid PAN as per Income_tax_PAN  format. ,
CountryOfIncorporationOrResidenceOfShareholder,Should be valid country name as per List of countries,
